ligand,iteration,rmsd
4few_ligand,227,0.776131
4few_ligand,228,0.781595
4few_ligand,229,0.782666
4few_ligand,230,0.804248
4few_ligand,231,0.759626
4few_ligand,232,0.767399
4few_ligand,233,0.797212
4few_ligand,234,0.779758
4few_ligand,235,0.803531
4few_ligand,236,0.805128
4few_ligand,237,0.837424
4few_ligand,238,0.844009
4few_ligand,239,0.875701
4few_ligand,240,0.825172
4few_ligand,241,0.849332
4few_ligand,242,0.819469
4few_ligand,243,0.832192
4few_ligand,244,0.774403
4few_ligand,245,0.827641
4few_ligand,246,0.894528
4few_ligand,247,0.756033
4few_ligand,248,0.79039
4few_ligand,249,0.7769
4few_ligand,250,0.845089
4few_ligand,251,0.790935
4few_ligand,252,0.850611
4few_ligand,253,0.793921
4few_ligand,254,0.871825
4few_ligand,255,0.71122
4few_ligand,256,0.735158
4few_ligand,257,0.735407
4few_ligand,258,0.754901
4few_ligand,259,0.76807
4few_ligand,260,0.787506
4few_ligand,261,0.793396
4few_ligand,262,0.794807
4few_ligand,263,0.786898
4few_ligand,264,0.798314
4few_ligand,265,0.771879
4few_ligand,266,0.822337
4few_ligand,267,0.796677
4few_ligand,268,0.842135
4few_ligand,269,0.728218
4few_ligand,270,0.756947
4few_ligand,271,0.798589
4few_ligand,272,0.768487
4few_ligand,273,0.799103
4few_ligand,274,0.801937
4few_ligand,275,0.827309
4few_ligand,276,0.834897
4few_ligand,277,0.874112
4few_ligand,278,0.849899
4few_ligand,279,0.766768
4few_ligand,280,0.756706
4few_ligand,281,0.830816
4few_ligand,282,0.788681
4few_ligand,283,0.823095
4few_ligand,284,0.811629
4few_ligand,285,0.900512
4few_ligand,286,0.771359
4few_ligand,287,0.807314
4few_ligand,288,0.787384
4few_ligand,289,0.810876
4few_ligand,290,0.834557
4few_ligand,291,0.839474
4few_ligand,292,0.868674
4few_ligand,293,0.735442
4few_ligand,294,0.7757
4few_ligand,295,0.784195
4few_ligand,296,0.799914
4few_ligand,297,0.782272
4few_ligand,298,0.818734
4few_ligand,299,0.785571
