5uez_ligand,-2.211068,5,0,4,39,500,100,N/A,N/A
5uez_ligand,-2.657798,5,0,4,39,5500,100,10,100
5uez_ligand,-2.645086,5,1,4,39,5500,100,10,100
5uez_ligand,-1.421787,5,2,4,39,5500,100,10,100
5uez_ligand,-2.712696,5,3,4,39,5500,100,10,100
5uez_ligand,-4.360532,5,4,4,39,5500,100,10,100
5uez_ligand,-2.382987,5,0,4,39,1000,100,10,10
5uez_ligand,-2.135091,5,1,4,39,1000,100,10,10
5uez_ligand,0.637348,5,2,4,39,1000,100,10,10
5uez_ligand,-1.620154,5,3,4,39,1000,100,10,10
5uez_ligand,0.142400,5,4,4,39,1000,100,10,10
5uez_ligand,-2.487737,5,0,4,39,3000,100,10,50
5uez_ligand,-2.594290,5,1,4,39,3000,100,10,50
5uez_ligand,0.637348,5,2,4,39,3000,100,10,50
5uez_ligand,-2.054692,5,3,4,39,3000,100,10,50
5uez_ligand,-0.843786,5,4,4,39,3000,100,10,50
5uez_ligand,-1.306670,5,1,4,39,500,100,N/A,N/A
5uez_ligand,-3.126045,5,0,4,39,13000,100,25,100
5uez_ligand,-2.915766,5,1,4,39,13000,100,25,100
5uez_ligand,-2.931084,5,2,4,39,13000,100,25,100
5uez_ligand,-2.712696,5,3,4,39,13000,100,25,100
5uez_ligand,-4.360532,5,4,4,39,13000,100,25,100
5uez_ligand,-2.382987,5,0,4,39,1750,100,25,10
5uez_ligand,-2.135091,5,1,4,39,1750,100,25,10
5uez_ligand,0.637348,5,2,4,39,1750,100,25,10
5uez_ligand,-1.620154,5,3,4,39,1750,100,25,10
5uez_ligand,0.142400,5,4,4,39,1750,100,25,10
5uez_ligand,-2.877920,5,0,4,39,6750,100,25,50
5uez_ligand,-2.691545,5,1,4,39,6750,100,25,50
5uez_ligand,-1.389605,5,2,4,39,6750,100,25,50
5uez_ligand,-2.054692,5,3,4,39,6750,100,25,50
5uez_ligand,-0.885164,5,4,4,39,6750,100,25,50
5uez_ligand,0.637348,5,2,4,39,500,100,N/A,N/A
5uez_ligand,6.907688,5,3,4,39,500,100,N/A,N/A
5uez_ligand,0.142400,5,4,4,39,500,100,N/A,N/A
5uez_ligand,-3.126045,5,0,4,39,25500,100,50,100
5uez_ligand,-3.119502,5,1,4,39,25500,100,50,100
5uez_ligand,-2.931084,5,2,4,39,25500,100,50,100
5uez_ligand,-2.727411,5,3,4,39,25500,100,50,100
5uez_ligand,-4.360532,5,4,4,39,25500,100,50,100
5uez_ligand,-2.382987,5,0,4,39,3000,100,50,10
5uez_ligand,-2.135091,5,1,4,39,3000,100,50,10
5uez_ligand,-0.195663,5,2,4,39,3000,100,50,10
5uez_ligand,-1.620154,5,3,4,39,3000,100,50,10
5uez_ligand,-0.916999,5,4,4,39,3000,100,50,10
5uez_ligand,-2.877920,5,0,4,39,13000,100,50,50
5uez_ligand,-2.962049,5,1,4,39,13000,100,50,50
5uez_ligand,-1.389605,5,2,4,39,13000,100,50,50
5uez_ligand,-2.178908,5,3,4,39,13000,100,50,50
5uez_ligand,-1.169256,5,4,4,39,13000,100,50,50
