Backend,Population,Generations,Run,Time (s),Throughput (Evals/s)
CUDA,100,1000,1,75.86,1318.2177695755338
CUDA,100,1000,2,75.98,1316.1358252171624
CUDA,100,1000,3,76.07,1314.5786775338506
Alpaka,100,1000,1,73.21,1365.9336156262807
Alpaka,100,1000,2,90.04,1110.6175033318525
Alpaka,100,1000,3,85.44,1170.4119850187267
