Backend,Population,Generations,Mean,Std,Min,Max
Alpaka,100,1000,1215.6543679922868,133.535516669274,1110.6175033318525,1365.9336156262807
CUDA,100,1000,1316.3107574421822,1.8258419111393933,1314.5786775338506,1318.2177695755338
