Backend,Population,Generations,Mean,Std,Min,Max
Alpaka,100,1000,8537.717830081005,75.04805019476944,8474.57627118644,8620.689655172415
CUDA,100,1000,8522.959676400389,54.497409093294024,8467.40050804403,8576.329331046312
