ligand,generation,genetic_score
0,0,33083.7
0,1,83.06
0,2,-0.000272572
0,3,-1.65422
0,4,-2.0951
0,5,-2.3732
0,6,-2.48255
0,7,-2.56851
0,8,-2.5843
0,9,-2.61339
0,10,-2.61339
0,11,-2.62903
0,12,-2.63618
0,13,-2.66698
0,14,-2.66698
0,15,-2.66698
0,16,-2.6692
0,17,-2.6692
0,18,-2.6692
0,19,-2.67515
0,20,-2.67515
0,21,-2.67515
0,22,-2.68084
0,23,-2.68009
0,24,-2.68032
0,25,-2.68032
0,26,-2.68032
0,27,-2.68032
0,28,-2.68032
0,29,-2.68723
0,30,-2.68835
0,31,-2.69696
0,32,-2.69696
0,33,-2.69696
0,34,-2.69696
0,35,-2.70197
0,36,-2.70318
0,37,-2.70197
0,38,-2.70197
0,39,-2.70197
0,40,-2.70197
0,41,-2.71022
0,42,-2.71022
0,43,-2.71031
0,44,-2.71084
0,45,-2.71084
0,46,-2.71084
0,47,-2.71108
0,48,-2.71369
0,49,-2.71369
0,50,-2.71369
0,51,-2.71369
0,52,-2.71369
0,53,-2.71369
0,54,-2.71762
0,55,-2.71762
0,56,-2.71997
0,57,-2.71997
0,58,-2.71997
0,59,-2.72417
0,60,-2.72417
0,61,-2.72417
0,62,-2.72561
0,63,-2.72561
0,64,-2.72561
0,65,-2.72916
0,66,-2.73012
0,67,-2.73012
0,68,-2.73398
0,69,-2.73398
0,70,-2.73619
0,71,-2.73707
0,72,-2.73707
0,73,-2.7372
0,74,-2.73739
0,75,-2.7372
0,76,-2.7372
0,77,-2.7372
0,78,-2.7372
0,79,-2.7372
0,80,-2.7372
0,81,-2.7372
0,82,-2.7372
0,83,-2.7372
0,84,-2.7372
0,85,-2.7372
0,86,-2.7372
0,87,-2.7372
0,88,-2.73745
0,89,-2.73751
0,90,-2.73751
0,91,-2.73753
0,92,-2.73785
0,93,-2.73785
0,94,-2.73785
0,95,-2.73785
0,96,-2.73785
0,97,-2.73785
0,98,-2.73785
0,99,-2.73785
