ligand,generation,genetic_score
0,0,33083.7
0,1,83.06
0,2,-0.579396
0,3,-1.38434
0,4,-1.38434
0,5,-1.42932
0,6,-1.7641
0,7,-2.43603
0,8,-2.45201
0,9,-2.81152
0,10,-2.82383
0,11,-2.87682
0,12,-2.87682
0,13,-2.87948
0,14,-2.89559
0,15,-2.89091
0,16,-2.89742
0,17,-2.89742
0,18,-2.90129
0,19,-2.89881
0,20,-2.89881
0,21,-2.89881
0,22,-2.90302
0,23,-2.89881
0,24,-2.89907
0,25,-2.89881
0,26,-2.91156
0,27,-2.91156
0,28,-2.91156
0,29,-2.91156
0,30,-2.91156
0,31,-2.91156
0,32,-2.91156
0,33,-2.91156
0,34,-2.91246
0,35,-2.93275
0,36,-2.93275
0,37,-2.95229
0,38,-2.96167
0,39,-2.97372
0,40,-2.98925
0,41,-2.98925
0,42,-3.00261
0,43,-3.00261
0,44,-3.02445
0,45,-3.04816
0,46,-3.04816
0,47,-3.05146
0,48,-3.06174
0,49,-3.06361
0,50,-3.0638
0,51,-3.0638
0,52,-3.0638
0,53,-3.0638
0,54,-3.07976
0,55,-3.07976
0,56,-3.07976
0,57,-3.08336
0,58,-3.09022
0,59,-3.09022
0,60,-3.09056
0,61,-3.09056
0,62,-3.09056
0,63,-3.09056
0,64,-3.09781
0,65,-3.10378
0,66,-3.1455
0,67,-3.15216
0,68,-3.15216
0,69,-3.15216
0,70,-3.15262
0,71,-3.15217
0,72,-3.15217
0,73,-3.15217
0,74,-3.15238
0,75,-3.15217
0,76,-3.15289
0,77,-3.15217
0,78,-3.1524
0,79,-3.15217
0,80,-3.15217
0,81,-3.15769
0,82,-3.15769
0,83,-3.15769
0,84,-3.15779
0,85,-3.15779
0,86,-3.15779
0,87,-3.15779
0,88,-3.15779
0,89,-3.15779
0,90,-3.15779
0,91,-3.15779
0,92,-3.15779
0,93,-3.15779
0,94,-3.15779
0,95,-3.15779
0,96,-3.15779
0,97,-3.15779
0,98,-3.16008
0,99,-3.16008
