ligand,generation,genetic_score
0,0,131824
0,1,4535.48
0,2,4535.48
0,3,4535.48
0,4,4409.92
0,5,2960.81
0,6,2940.05
0,7,2501.32
0,8,2480.78
0,9,2374.33
0,10,2248.9
0,11,1928.71
0,12,1532.72
0,13,1405.3
0,14,1339.87
0,15,1349.29
0,16,1327.5
0,17,1301.52
0,18,1281.96
0,19,1280.44
0,20,1280.44
0,21,1271.48
0,22,1269.04
0,23,1264.24
0,24,1263.05
0,25,1258.73
0,26,1258.73
0,27,1256.24
0,28,1256.24
0,29,1254.21
0,30,1254.21
0,31,1254.21
0,32,1252.64
0,33,1252.92
0,34,1252.92
0,35,1252.92
0,36,1252.92
0,37,1252.61
0,38,1252.61
0,39,1252.61
0,40,1252.61
0,41,1252.61
0,42,1252.61
0,43,1252.51
0,44,1252.51
0,45,1252.51
0,46,1252.51
0,47,1252.51
0,48,1252.51
0,49,1252.51
0,50,1252.51
0,51,1252.51
0,52,1252.51
0,53,1252.14
0,54,1252.14
0,55,1252.14
0,56,1252.14
0,57,1250.7
0,58,1250.2
0,59,1250.7
0,60,1250.7
0,61,1250.7
0,62,1250.7
0,63,1250.7
0,64,1250.7
0,65,1250.04
0,66,1250.04
0,67,1249.65
0,68,1249.65
0,69,1239.31
0,70,1239.31
0,71,1238.6
0,72,1238.6
0,73,1238.6
0,74,1238.6
0,75,1238.18
0,76,1238.18
0,77,1238.18
0,78,1238.18
0,79,1238.18
0,80,1238.18
0,81,1237.83
0,82,1237.83
0,83,1237.65
0,84,1237.31
0,85,1237.31
0,86,1237.31
0,87,1237.31
0,88,1237.31
0,89,1237.31
0,90,1237.31
0,91,1237.31
0,92,1237.31
0,93,1237.29
0,94,1237.29
0,95,1237.29
0,96,1237.29
0,97,1237.29
0,98,1237.29
0,99,1237.29
