ligand,generation,genetic_score
0,0,0.718921
0,1,-2.31066
0,2,-2.31066
0,3,-3.79163
0,4,-4.1405
0,5,-4.22988
0,6,-4.2769
0,7,-4.3984
0,8,-4.42516
0,9,-4.44931
0,10,-4.49484
0,11,-4.58747
0,12,-4.59438
0,13,-4.65168
0,14,-4.65168
0,15,-4.65557
0,16,-4.65793
0,17,-4.7595
0,18,-4.76143
0,19,-4.81093
0,20,-4.81455
0,21,-4.85917
0,22,-4.92526
0,23,-5.85907
0,24,-5.94098
0,25,-5.98947
0,26,-6.02279
0,27,-6.06112
0,28,-6.08092
0,29,-6.12583
0,30,-6.13089
0,31,-6.15797
0,32,-6.15808
0,33,-6.17945
0,34,-6.17945
0,35,-6.17945
0,36,-6.18425
0,37,-6.19132
0,38,-6.19519
0,39,-6.20944
0,40,-6.2252
0,41,-6.22559
0,42,-6.2284
0,43,-6.22996
0,44,-6.22996
0,45,-6.24551
0,46,-6.24551
0,47,-6.24551
0,48,-6.24551
0,49,-6.24551
0,50,-6.24551
0,51,-6.24551
0,52,-6.24551
0,53,-6.24824
0,54,-6.24979
0,55,-6.24979
0,56,-6.25108
0,57,-6.2518
0,58,-6.25664
0,59,-6.26752
0,60,-6.26804
0,61,-6.26804
0,62,-6.26804
0,63,-6.26804
0,64,-6.26804
0,65,-6.27031
0,66,-6.28322
0,67,-6.28346
0,68,-6.2836
0,69,-6.2836
0,70,-6.2836
0,71,-6.28846
0,72,-6.28875
0,73,-6.28846
0,74,-6.28875
0,75,-6.28846
0,76,-6.28875
0,77,-6.28857
0,78,-6.29644
0,79,-6.29644
0,80,-6.29644
0,81,-6.29866
0,82,-6.29866
0,83,-6.29866
0,84,-6.29866
0,85,-6.29908
0,86,-6.29908
0,87,-6.30155
0,88,-6.30155
0,89,-6.30155
0,90,-6.30155
0,91,-6.30155
0,92,-6.30155
0,93,-6.30155
0,94,-6.30155
0,95,-6.30155
0,96,-6.30155
0,97,-6.30482
0,98,-6.30527
0,99,-6.30558
