ligand,generation,genetic_score
0,0,81128.5
0,1,9340.76
0,2,9340.76
0,3,5358.42
0,4,4337.02
0,5,2668.57
0,6,2454.5
0,7,1971.13
0,8,1920.55
0,9,1697.91
0,10,1687.23
0,11,1559.61
0,12,1530.43
0,13,1476.95
0,14,1476.44
0,15,1434.45
0,16,1426.53
0,17,1391.64
0,18,1382.4
0,19,1329.62
0,20,1329.48
0,21,1329.48
0,22,1329.28
0,23,1319.98
0,24,1318.32
0,25,1311.5
0,26,1305.4
0,27,1306.8
0,28,1242.48
0,29,1304.13
0,30,1299.71
0,31,1262.82
0,32,1242.98
0,33,1095.36
0,34,1078.19
0,35,1034.28
0,36,971.869
0,37,957.951
0,38,952.178
0,39,943.413
0,40,925.738
0,41,920.417
0,42,919.902
0,43,886.964
0,44,872.702
0,45,871.017
0,46,865.743
0,47,864.358
0,48,864.358
0,49,864.106
0,50,864.097
0,51,857.212
0,52,852.225
0,53,848.724
0,54,847.593
0,55,847.593
0,56,847.593
0,57,847.593
0,58,847.593
0,59,847.593
0,60,847.593
0,61,847.593
0,62,847.593
0,63,847.593
0,64,847.593
0,65,847.593
0,66,847.45
0,67,846.506
0,68,846.506
0,69,845.917
0,70,845.719
0,71,845.719
0,72,845.708
0,73,845.098
0,74,845.087
0,75,838.703
0,76,836.204
0,77,838.078
0,78,836.303
0,79,835.49
0,80,830.175
0,81,830.175
0,82,827.257
0,83,826.64
0,84,826.64
0,85,826.508
0,86,826.477
0,87,826.451
0,88,826.451
0,89,826.425
0,90,826.388
0,91,826.388
0,92,826.388
0,93,826.176
0,94,826.176
0,95,826.143
0,96,825.78
0,97,825.78
0,98,825.739
0,99,825.78
