ligand,crystal_score,final_score,rmsd,com,num_atoms,num_rotamers,iterations
2xy9_ligand,-19.8361,-22.2265,0.268091,0.226719,87,21,300
2xys_ligand,-2.35159,-2.89242,0.464444,0.348588,49,24,300
2y5h_ligand,-9.27179,-10.2835,0.330773,0.317499,59,26,300
2yfe_ligand,6.52502,4.60562,0.378676,0.370884,48,11,300
2yge_ligand,1.90935,0.256855,0.519404,0.457304,80,32,300
2yki_ligand,-18.0009,-18.0948,0.116991,0.103769,52,12,300
2ymd_ligand,-5.83311,-6.00072,0.0918443,0.0493187,26,7,300
2zcq_ligand,-13.1718,-13.9239,0.363556,0.266685,41,8,300
2zcr_ligand,-14.5488,-15.1419,0.266975,0.200248,52,11,300
2zjw_ligand,-2.82376,-5.03486,0.674144,0.666113,28,11,300
2zwz_ligand,1.47887,0.322593,0.200888,0.118318,30,12,300
2zx6_ligand,-3.27091,-3.85159,0.305148,0.218816,48,17,300
2zxd_ligand,-0.970723,-1.78625,0.235866,0.203395,30,12,300
3acw_ligand,-5.28592,-5.77354,0.616918,0.616226,42,12,300
3ao4_ligand,-4.57296,-4.9728,0.369057,0.339736,27,10,300
3b3s_ligand,-2.76351,-5.68329,0.63862,0.638167,22,6,300
3b3w_ligand,-5.2881,-5.60462,0.312666,0.310859,22,6,300
3b68_ligand,-6.92808,-7.19712,0.0726516,0.0368051,49,11,300
3bfu_ligand,-8.04472,-8.8037,0.11327,0.0998753,19,8,300
3bkk_ligand,-15.1312,-16.1729,0.303085,0.277371,65,14,300
3bpc_ligand,-3.1144,-6.99212,0.348794,0.235664,58,27,300
3cft_ligand,-3.42849,-3.77923,0.501114,0.498207,23,2,300
3cj2_ligand,-4.24004,-5.08044,0.569347,0.552699,37,10,300
3coy_ligand,-9.69109,-10.5334,0.2029,0.0464363,57,21,300
3cyx_ligand,-18.3017,-18.75,0.218319,0.188075,100,28,300
3d4z_ligand,-5.30796,-5.73414,0.0848791,0.0493963,26,13,300
3dd0_ligand,17.7677,-7.7737,0.443599,0.434301,26,7,300
3dxg_ligand,-4.25057,-4.78679,0.399678,0.399123,32,13,300
3e93_ligand,-10.7748,-11.6175,0.361153,0.248137,70,21,300
3ehy_ligand,-9.92485,-10.2324,0.277077,0.266397,29,6,300
3ejr_ligand,-8.44475,-9.08722,0.497929,0.416282,54,20,300
3f17_ligand,-13.617,-14.0896,0.215095,0.204283,33,5,300
3f3a_ligand,-6.15316,-6.51741,0.272511,0.242062,26,7,300
3f3c_ligand,-8.43819,-9.24917,0.319877,0.316632,23,4,300
3f3e_ligand,-7.69353,-7.8412,0.116628,0.0948424,22,6,300
3f80_ligand,-5.86402,-6.94164,0.498737,0.491258,24,7,300
3fcq_ligand,-6.61194,-6.92554,0.237956,0.23191,23,5,300
3fk1_ligand,-7.65738,-10.762,0.34903,0.347472,16,4,300
3fv1_ligand,-13.761,-15.3396,0.184499,0.162629,41,18,300
3g0w_ligand,-7.26802,-7.54176,0.251116,0.130613,37,14,300
3g2z_ligand,5.3073,0.8686,0.516742,0.504635,22,10,300
3gbb_ligand,-12.2402,-12.7956,0.113023,0.0836681,34,15,300
3gcs_ligand,-9.18268,-10.9011,0.362783,0.347529,48,7,300
3ge7_ligand,-10.0955,-10.9497,0.382449,0.260694,53,17,300
3gnw_ligand,-8.42133,-9.32116,0.265732,0.235724,76,19,300
3gy4_ligand,-6.82856,-7.18666,0.212725,0.208,20,2,300
3huc_ligand,-7.31168,-8.1549,0.65952,0.615375,43,8,300
3i3b_ligand,-4.83347,-5.33238,0.271489,0.232313,22,11,300
3imc_ligand,-4.63876,-4.82194,0.217841,0.213308,20,5,300
3ivg_ligand,-9.61113,-10.3605,0.394876,0.280923,46,13,300
3jvs_ligand,-11.1812,-11.6707,0.209206,0.201998,52,8,300
3k5v_ligand,-6.11154,-6.47346,0.270095,0.234409,40,6,300
3kgp_ligand,-3.94352,-4.2693,0.224307,0.205621,20,3,300
3kv2_ligand,-5.25176,-6.52757,0.499495,0.458262,24,8,300
3kwa_ligand,92712.6,38762.8,0.261671,0.237136,44,13,300
3l3n_ligand,-13.5681,-14.4528,0.344364,0.176238,70,19,300
3l4u_ligand,0.640053,-0.507657,0.368218,0.199795,47,22,300
3l4w_ligand,-2.88353,-3.34498,0.231315,0.0778313,31,14,300
3lka_ligand,-7.83972,-8.70805,0.551987,0.548588,21,3,300
3mfv_ligand,-5.02532,-7.33746,0.450075,0.416177,25,9,300
3mss_ligand,-4.05784,-4.48558,0.711658,0.702962,42,8,300
3muz_ligand,-4.44698,-4.97503,0.381989,0.338389,33,15,300
3myg_ligand,-3.57277,-4.00207,0.323384,0.166834,56,25,300
3n7a_ligand,-7.02089,-8.94192,0.0554327,0.050803,21,9,300
3n86_ligand,-9.50593,-13.7298,0.15862,0.140604,41,13,300
3nox_ligand,21.7949,-3.92155,0.380381,0.364196,48,17,300
3nq3_ligand,-4.67207,-4.75262,0.209606,0.203607,31,9,300
3nw9_ligand,-13.4835,-19.3487,0.225876,0.158117,62,19,300
3oe5_ligand,-7.53137,-10.524,0.267125,0.253118,50,16,300
3ov1_ligand,-8.90778,-10.4564,0.119218,0.10089,58,16,300
3owj_ligand,-1.42498,-2.82185,0.56659,0.437716,35,13,300
3ozt_ligand,-7.20232,-9.97287,0.250049,0.243962,50,19,300
3pe2_ligand,-11.1501,-11.4038,0.325324,0.302011,37,4,300
3pww_ligand,-13.4932,-14.6303,0.286764,0.218448,99,28,300
3pxf_ligand,-6.51843,-7.97215,0.252212,0.249388,33,3,300
3s8o_ligand,-9.46547,-10.8294,0.141574,0.119807,67,19,300
3su2_ligand,-15.4859,-16.7126,0.32853,0.325449,95,33,300
3su3_ligand,-14.7727,-16.4187,0.401266,0.372057,106,37,300
3su5_ligand,-13.9443,-15.3191,0.46777,0.448869,106,37,300
3u9q_ligand,-3.79228,-4.50956,0.692969,0.685192,31,9,300
3udh_ligand,-5.7228,-6.19198,0.0862233,0.0634546,27,8,300
3ueu_ligand,-3.96391,-4.77338,0.893941,0.874598,37,11,300
3uex_ligand,-5.63253,-6.65986,0.552906,0.537382,55,17,300
3uo4_ligand,-10.641,-11.6816,0.272378,0.238234,46,6,300
3uri_ligand,-15.0184,-16.4534,0.53567,0.385698,130,44,300
3utu_ligand,-18.4687,-19.5362,0.305187,0.262506,82,19,300
3vd4_ligand,-4.48832,-4.7802,0.202853,0.14734,33,15,300
3vh9_ligand,-7.12993,-7.64505,0.26879,0.265846,18,1,300
3zso_ligand,-13.3226,-14.2239,0.363337,0.334376,77,19,300
3zsx_ligand,-6.8416,-7.9502,0.384799,0.278898,59,14,300
4de1_ligand,-9.97761,-11.4649,0.414363,0.405415,34,8,300
4de2_ligand,-9.49765,-10.7991,0.471031,0.428614,42,10,300
4des_ligand,4.88021,-4.03196,0.389905,0.349409,29,7,300
4dew_ligand,16.9687,5.46315,0.377781,0.366673,31,9,300
4djr_ligand,-15.5524,-16.322,0.166792,0.100012,76,23,300
4djv_ligand,-6.3974,-7.8159,0.219134,0.0942795,50,8,300
4g8m_ligand,-8.51063,-9.62869,0.163259,0.13318,22,8,300
4gid_ligand,-18.5461,-25.5815,0.22522,0.183965,95,22,300
4gqq_ligand,-3.81858,-6.07451,0.381005,0.368208,27,7,300
4tmn_ligand,-16.1306,-16.897,0.290746,0.275594,68,16,300
