ligand,generation,genetic_score
0,0,69808.6
0,1,69694.2
0,2,64879.7
0,3,6771.8
0,4,5031.5
0,5,-6.96714
0,6,-6.98414
0,7,-15.0199
0,8,-15.1902
0,9,-15.4489
0,10,-15.5405
0,11,-15.5405
0,12,-15.7499
0,13,-15.7499
0,14,-15.8143
0,15,-15.8159
0,16,-15.8159
0,17,-15.8159
0,18,-15.8159
0,19,-15.8229
0,20,-15.8229
0,21,-15.8229
0,22,-15.8229
0,23,-15.8229
0,24,-15.8229
0,25,-15.8229
0,26,-15.8241
0,27,-15.8315
0,28,-15.8315
0,29,-15.8315
0,30,-15.8315
0,31,-15.8315
0,32,-15.8315
0,33,-15.8315
0,34,-15.8315
0,35,-15.8315
0,36,-15.8337
0,37,-15.8337
0,38,-15.8507
0,39,-15.8461
0,40,-15.8461
0,41,-15.8527
0,42,-15.8527
0,43,-15.8535
0,44,-15.8581
0,45,-15.8581
0,46,-15.9319
0,47,-15.9319
0,48,-15.9584
0,49,-15.9753
0,50,-16.0046
0,51,-16.0224
0,52,-16.028
0,53,-16.0352
0,54,-16.0371
0,55,-16.0372
0,56,-16.0372
0,57,-16.0399
0,58,-16.0399
0,59,-16.0399
0,60,-16.0399
0,61,-16.0399
0,62,-16.0399
0,63,-16.0399
0,64,-16.0666
0,65,-16.0666
0,66,-16.0666
0,67,-16.0666
0,68,-16.0671
0,69,-16.0671
0,70,-16.0672
0,71,-16.0672
0,72,-16.0678
0,73,-16.0678
0,74,-16.0678
0,75,-16.0678
0,76,-16.0678
0,77,-16.0793
0,78,-16.0793
0,79,-16.0793
0,80,-16.0793
0,81,-16.0793
0,82,-16.0793
0,83,-16.0799
0,84,-16.0799
0,85,-16.0799
0,86,-16.0799
0,87,-16.0799
0,88,-16.0799
0,89,-16.0932
0,90,-16.0932
0,91,-16.0932
0,92,-16.0932
0,93,-16.0932
0,94,-16.0932
0,95,-16.0934
0,96,-16.0934
0,97,-16.0934
0,98,-16.0934
0,99,-16.0934
