ligand,generation,genetic_score
0,0,20352.3
0,1,6.42167
0,2,6.42145
0,3,2.8769
0,4,-0.966038
0,5,-1.01536
0,6,-1.51258
0,7,-1.75595
0,8,-1.97787
0,9,-2.43706
0,10,-2.43706
0,11,-2.47464
0,12,-2.79606
0,13,-2.85584
0,14,-2.85584
0,15,-2.97688
0,16,-3.1485
0,17,-3.14862
0,18,-3.19621
0,19,-3.23598
0,20,-3.28325
0,21,-3.29138
0,22,-3.29894
0,23,-3.30708
0,24,-3.31455
0,25,-3.32267
0,26,-3.32267
0,27,-3.34152
0,28,-3.34489
0,29,-3.34619
0,30,-3.34619
0,31,-3.34619
0,32,-3.35621
0,33,-3.43776
0,34,-3.44088
0,35,-3.46972
0,36,-3.47583
0,37,-3.61157
0,38,-3.61157
0,39,-3.61157
0,40,-3.61157
0,41,-3.61157
0,42,-3.63162
0,43,-3.66351
0,44,-3.68891
0,45,-3.68891
0,46,-3.71318
0,47,-3.71415
0,48,-3.71679
0,49,-3.76494
0,50,-3.76861
0,51,-3.76861
0,52,-3.76861
0,53,-3.76883
0,54,-3.76883
0,55,-3.76883
0,56,-3.76883
0,57,-3.77747
0,58,-3.79614
0,59,-3.80385
0,60,-3.80385
0,61,-3.80385
0,62,-3.80385
0,63,-3.80385
0,64,-3.80385
0,65,-3.80385
0,66,-3.80385
0,67,-3.80385
0,68,-3.81746
0,69,-3.81746
0,70,-3.82297
0,71,-3.82297
0,72,-3.82297
0,73,-3.82297
0,74,-3.82297
0,75,-3.82297
0,76,-3.82297
0,77,-3.82297
0,78,-3.82297
0,79,-3.82297
0,80,-3.82297
0,81,-3.83313
0,82,-3.83313
0,83,-3.83507
0,84,-3.83532
0,85,-3.83616
0,86,-3.83642
0,87,-3.83642
0,88,-3.83649
0,89,-3.83674
0,90,-3.83674
0,91,-3.83674
0,92,-3.83674
0,93,-3.83674
0,94,-3.83674
0,95,-3.88641
0,96,-3.88641
0,97,-3.88641
0,98,-3.88641
0,99,-3.88641
