ligand,generation,genetic_score
0,0,20352.3
0,1,1.33381
0,2,0.856949
0,3,0.721248
0,4,0.339152
0,5,-0.100263
0,6,-0.220103
0,7,-1.20095
0,8,-1.20513
0,9,-1.81267
0,10,-2.27367
0,11,-2.84095
0,12,-2.98009
0,13,-3.02739
0,14,-3.07427
0,15,-3.04207
0,16,-3.05946
0,17,-3.06765
0,18,-3.06917
0,19,-3.08573
0,20,-3.09807
0,21,-3.11214
0,22,-3.11249
0,23,-3.18366
0,24,-3.18397
0,25,-3.19204
0,26,-3.19901
0,27,-3.23415
0,28,-3.2454
0,29,-3.24551
0,30,-3.24611
0,31,-3.24611
0,32,-3.24648
0,33,-3.24919
0,34,-3.24941
0,35,-3.24941
0,36,-3.25079
0,37,-3.2518
0,38,-3.2525
0,39,-3.25288
0,40,-3.25292
0,41,-3.25431
0,42,-3.26421
0,43,-3.26588
0,44,-3.27294
0,45,-3.26837
0,46,-3.26838
0,47,-3.26931
0,48,-3.27039
0,49,-3.27226
0,50,-3.27226
0,51,-3.27424
0,52,-3.27429
0,53,-3.28534
0,54,-3.28681
0,55,-3.29085
0,56,-3.29544
0,57,-3.29603
0,58,-3.30021
0,59,-3.30269
0,60,-3.30271
0,61,-3.30332
0,62,-3.30338
0,63,-3.30318
0,64,-3.30386
0,65,-3.30397
0,66,-3.3041
0,67,-3.30408
0,68,-3.30411
0,69,-3.3041
0,70,-3.3041
0,71,-3.30411
0,72,-3.30414
0,73,-3.30414
0,74,-3.30414
0,75,-3.30414
0,76,-3.30414
0,77,-3.30414
0,78,-3.30415
0,79,-3.30431
0,80,-3.30431
0,81,-3.30431
0,82,-3.30438
0,83,-3.30432
0,84,-3.30432
0,85,-3.30432
0,86,-3.30435
0,87,-3.30435
0,88,-3.30444
0,89,-3.30435
0,90,-3.30442
0,91,-3.30442
0,92,-3.30442
0,93,-3.30442
0,94,-3.30459
0,95,-3.30442
0,96,-3.30442
0,97,-3.30442
0,98,-3.30442
0,99,-3.30442
